               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.050169,            0.088092,            0.045645,              0.4479,             0.57728,             0.41901,             0.21594,            0.040718,             0.17612,            0.043358,            0.008251,            0.008251,            0.008251
                  55,            0.046446,            0.090013,            0.045803,             0.46496,             0.53176,             0.45383,             0.24668,            0.039297,             0.17307,            0.043188,            0.008218,            0.008218,            0.008218
                  56,             0.04598,            0.090451,            0.044833,             0.28965,              0.6546,             0.42816,             0.22895,            0.044768,             0.18649,            0.043132,            0.008185,            0.008185,            0.008185
                  57,            0.050725,            0.086157,            0.044912,             0.43887,             0.59399,             0.47408,             0.26066,            0.038896,             0.17195,            0.042883,            0.008152,            0.008152,            0.008152
                  58,            0.046507,            0.089418,            0.045707,             0.44425,              0.5899,             0.47629,             0.24329,            0.039108,             0.17479,            0.042729,            0.008119,            0.008119,            0.008119
                  59,            0.045839,             0.08851,            0.045577,             0.38067,             0.61066,             0.47196,              0.2144,            0.048282,             0.19071,            0.042854,            0.008086,            0.008086,            0.008086
                  60,            0.053486,            0.086905,            0.044629,             0.46424,             0.58187,             0.47476,             0.26332,            0.040946,             0.17657,             0.04247,            0.008053,            0.008053,            0.008053
                  61,            0.042815,            0.086443,             0.04471,             0.42039,             0.62475,             0.46993,             0.26675,            0.036505,             0.17358,             0.04234,             0.00802,             0.00802,             0.00802
                  62,            0.045372,            0.084619,            0.044604,              0.3377,             0.61578,             0.42774,              0.2212,            0.042411,             0.17808,            0.042247,            0.007987,            0.007987,            0.007987
                  63,            0.046336,            0.095781,            0.043021,             0.30859,             0.59399,             0.46169,             0.26053,            0.036577,             0.17332,            0.042195,            0.007954,            0.007954,            0.007954
                  64,            0.042781,            0.087251,             0.04457,             0.36194,              0.5849,             0.47111,             0.26151,            0.035622,             0.17412,            0.042101,            0.007921,            0.007921,            0.007921
                  65,             0.04368,            0.089204,            0.045145,             0.31513,             0.68408,             0.40671,             0.22326,            0.043056,             0.17554,             0.04201,            0.007888,            0.007888,            0.007888
                  66,            0.047351,            0.088501,            0.043752,             0.33196,             0.66818,             0.47128,             0.23734,            0.039541,             0.17524,            0.041998,            0.007855,            0.007855,            0.007855
                  67,            0.042638,            0.090245,            0.043706,             0.33725,             0.62626,             0.47587,             0.25055,            0.036829,             0.17186,            0.041922,            0.007822,            0.007822,            0.007822
                  68,             0.04413,            0.082729,            0.043466,              0.3582,             0.63808,             0.44586,             0.22995,            0.045561,             0.17895,            0.041812,            0.007789,            0.007789,            0.007789
                  69,            0.049585,            0.085502,            0.043286,             0.36502,             0.63384,             0.47171,             0.26135,            0.040314,             0.17615,             0.04155,            0.007756,            0.007756,            0.007756
                  70,            0.043761,            0.091556,            0.043501,             0.38885,             0.62665,             0.48666,             0.28582,            0.035046,              0.1735,            0.041502,            0.007723,            0.007723,            0.007723
                  71,             0.04583,            0.088978,            0.044462,             0.31703,             0.65202,             0.43781,             0.23025,            0.044733,             0.17596,            0.041422,             0.00769,             0.00769,             0.00769
                  72,            0.048571,            0.084283,            0.042623,             0.33715,             0.64293,             0.47227,             0.24472,            0.039068,             0.17438,            0.041373,            0.007657,            0.007657,            0.007657
                  73,            0.041031,            0.084637,            0.043358,             0.40639,             0.63294,             0.48239,             0.26377,            0.035154,             0.17283,            0.041325,            0.007624,            0.007624,            0.007624
                  74,            0.042285,            0.083808,            0.042047,             0.30451,             0.67053,             0.44412,             0.22581,            0.042295,              0.1754,            0.041197,            0.007591,            0.007591,            0.007591
                  75,            0.047758,            0.084943,            0.043606,             0.31684,              0.6898,             0.42875,             0.23454,             0.03882,              0.1749,            0.041074,            0.007558,            0.007558,            0.007558
                  76,            0.042881,            0.088509,             0.04252,             0.34667,             0.66515,             0.46745,             0.26394,            0.043126,             0.17859,            0.041058,            0.007525,            0.007525,            0.007525
                  77,            0.047493,            0.087795,            0.041957,             0.46186,             0.59565,             0.48404,             0.25544,             0.03981,             0.17288,            0.040973,            0.007492,            0.007492,            0.007492
                  78,            0.044657,            0.081613,            0.041847,             0.35586,             0.66911,             0.47471,             0.25928,            0.037313,             0.17287,            0.040881,            0.007459,            0.007459,            0.007459
                  79,            0.041492,             0.08071,            0.044018,             0.30566,             0.67074,             0.45378,             0.23218,            0.043261,             0.18206,            0.040703,            0.007426,            0.007426,            0.007426
                  80,            0.049212,            0.092306,            0.041787,             0.40507,             0.61908,             0.48188,             0.24381,            0.039445,             0.17172,            0.040598,            0.007393,            0.007393,            0.007393
                  81,            0.042266,            0.083149,            0.042507,             0.43109,             0.62074,             0.47609,             0.27145,            0.035953,             0.17026,            0.040492,             0.00736,             0.00736,             0.00736
                  82,            0.041057,             0.08463,            0.041606,              0.3346,             0.67571,             0.43402,             0.24315,            0.044369,             0.17313,             0.04035,            0.007327,            0.007327,            0.007327
                  83,            0.049847,            0.084084,            0.041641,             0.38854,              0.6504,              0.4594,             0.22175,            0.040135,             0.17349,            0.040154,            0.007294,            0.007294,            0.007294
                  84,            0.043723,            0.083989,            0.042419,             0.40681,             0.63737,             0.49961,             0.28262,            0.037908,             0.17129,            0.040086,            0.007261,            0.007261,            0.007261
                  85,            0.043988,            0.084145,            0.042468,             0.32942,             0.66945,             0.49614,             0.26381,            0.042939,             0.17614,            0.039966,            0.007228,            0.007228,            0.007228
