               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.043705,            0.098194,            0.047625,             0.55603,             0.49091,              0.4464,             0.21487,            0.041544,             0.17725,            0.042406,           0.0085893,           0.0085893,           0.0085893
                  59,            0.047627,             0.09755,             0.04719,             0.34494,             0.56071,             0.44951,             0.24581,            0.037578,             0.17052,            0.042361,           0.0085645,           0.0085645,           0.0085645
                  60,            0.048705,            0.096277,            0.046976,             0.38029,             0.59471,             0.43686,             0.20177,            0.045126,             0.17427,            0.042094,           0.0085398,           0.0085398,           0.0085398
                  61,            0.046061,            0.095571,            0.046548,             0.36101,             0.59811,              0.4587,             0.23477,            0.043603,              0.1787,             0.04193,            0.008515,            0.008515,            0.008515
                  62,            0.047057,            0.091432,            0.046319,             0.40895,             0.58669,             0.45657,             0.25367,            0.038576,             0.17141,            0.041792,           0.0084903,           0.0084903,           0.0084903
                  63,            0.045489,              0.0949,            0.047328,             0.38584,             0.59021,             0.44047,             0.22052,            0.044088,             0.17614,            0.041554,           0.0084655,           0.0084655,           0.0084655
                  64,            0.047508,            0.095485,            0.046114,             0.45478,             0.58686,             0.44467,             0.23368,            0.038926,             0.17164,            0.041457,           0.0084408,           0.0084408,           0.0084408
                  65,            0.048021,            0.088878,            0.046047,             0.35208,              0.6176,             0.44477,             0.20603,            0.044031,             0.17479,             0.04135,            0.008416,            0.008416,            0.008416
                  66,            0.045257,              0.0958,            0.046677,             0.37433,             0.63733,             0.46075,             0.24256,            0.044539,             0.17505,            0.041147,           0.0083913,           0.0083913,           0.0083913
                  67,            0.048099,            0.097356,            0.045986,             0.47724,             0.59916,             0.47514,             0.24791,            0.039564,             0.17274,            0.041101,           0.0083665,           0.0083665,           0.0083665
                  68,            0.044578,            0.091591,            0.045608,             0.30855,             0.63788,             0.46656,             0.23337,            0.045413,             0.17456,            0.040862,           0.0083418,           0.0083418,           0.0083418
                  69,            0.046484,            0.092462,            0.045228,             0.34033,             0.64525,             0.48059,             0.27577,            0.036537,             0.17114,            0.040785,            0.008317,            0.008317,            0.008317
                  70,            0.046302,            0.091339,            0.045996,             0.34677,             0.63141,             0.48466,             0.25115,            0.043574,             0.17798,             0.04073,           0.0082922,           0.0082922,           0.0082922
                  71,            0.045866,            0.096487,             0.04575,             0.35774,             0.63096,             0.49589,             0.25941,            0.042279,             0.17432,            0.040524,           0.0082675,           0.0082675,           0.0082675
                  72,            0.047187,            0.090767,            0.045913,             0.32796,             0.62302,             0.46686,             0.25776,            0.037432,             0.17237,            0.040529,           0.0082428,           0.0082428,           0.0082428
                  73,             0.04146,            0.091426,            0.044965,             0.31474,             0.70051,             0.47982,             0.27179,            0.038604,             0.17361,            0.040248,            0.008218,            0.008218,            0.008218
                  74,            0.044334,            0.089789,             0.04564,              0.4267,             0.59154,             0.48525,             0.26687,             0.03734,              0.1749,             0.04017,           0.0081932,           0.0081932,           0.0081932
                  75,            0.043982,            0.094728,            0.044204,              0.3233,             0.62677,             0.49025,             0.26606,             0.04097,             0.17703,            0.039879,           0.0081685,           0.0081685,           0.0081685
                  76,            0.042893,            0.094925,            0.044051,             0.29929,             0.62146,             0.44953,             0.23182,            0.043267,             0.17844,            0.039902,           0.0081437,           0.0081437,           0.0081437
                  77,            0.046154,            0.097076,            0.044379,             0.48691,              0.5879,              0.4999,              0.2883,            0.034941,             0.16973,            0.039755,            0.008119,            0.008119,            0.008119
                  78,            0.040461,            0.087206,            0.043287,             0.33567,             0.65551,             0.51634,              0.2785,             0.03975,             0.17145,            0.039606,           0.0080942,           0.0080942,           0.0080942
                  79,            0.044161,            0.088392,            0.044512,             0.36664,             0.64089,             0.50237,             0.26962,            0.037643,             0.17106,            0.039349,           0.0080695,           0.0080695,           0.0080695
                  80,            0.044275,            0.089087,            0.043346,              0.3472,             0.63722,             0.49652,             0.25219,            0.041506,             0.17471,            0.039427,           0.0080447,           0.0080447,           0.0080447
                  81,            0.044056,            0.091454,            0.043849,             0.40376,             0.60561,             0.51859,              0.2925,            0.035347,             0.17067,            0.039349,             0.00802,             0.00802,             0.00802
                  82,            0.045134,            0.093624,            0.043985,             0.49142,             0.55154,             0.53838,             0.30583,            0.038628,             0.17565,            0.039412,           0.0079953,           0.0079953,           0.0079953
                  83,            0.042075,            0.093845,            0.043717,             0.49628,              0.5519,             0.53122,             0.29446,            0.036866,             0.17036,            0.039087,           0.0079705,           0.0079705,           0.0079705
                  84,            0.045442,             0.09322,            0.043542,             0.44279,             0.50863,             0.53194,             0.27991,            0.039797,             0.17216,            0.038936,           0.0079457,           0.0079457,           0.0079457
                  85,            0.045138,            0.090984,            0.042952,             0.43703,              0.5272,             0.53854,             0.28216,            0.039221,             0.17601,            0.038657,            0.007921,            0.007921,            0.007921
                  86,            0.043783,            0.098426,            0.042909,             0.47451,             0.50864,             0.52468,             0.30503,            0.034254,             0.16996,            0.038708,           0.0078963,           0.0078963,           0.0078963
                  87,            0.043315,            0.095019,            0.042871,             0.46509,              0.5487,             0.54228,             0.28749,            0.039529,             0.17961,            0.038504,           0.0078715,           0.0078715,           0.0078715
                  88,            0.040639,            0.091802,            0.043144,             0.41279,             0.54908,             0.52129,             0.27667,            0.037657,             0.18107,            0.038271,           0.0078467,           0.0078467,           0.0078467
                  89,            0.041887,            0.089339,            0.041161,              0.5505,             0.51061,             0.54055,             0.29044,            0.036044,             0.17274,            0.038309,            0.007822,            0.007822,            0.007822
                  90,            0.040329,            0.087533,            0.042725,             0.54805,             0.50364,             0.51922,             0.28073,            0.037514,             0.18538,            0.038199,           0.0077973,           0.0077973,           0.0077973
                  91,             0.04125,            0.091266,            0.042245,             0.53115,             0.50561,             0.54157,             0.31485,            0.034148,             0.16827,            0.038177,           0.0077725,           0.0077725,           0.0077725
                  92,            0.041213,            0.090243,            0.041855,             0.67408,             0.48154,             0.53187,             0.28078,            0.037736,             0.17544,             0.03797,           0.0077478,           0.0077478,           0.0077478
                  93,            0.040347,            0.091487,            0.042181,             0.57436,             0.50561,             0.55345,              0.3268,             0.03502,             0.16923,            0.037656,            0.007723,            0.007723,            0.007723
                  94,            0.041586,            0.087988,             0.04195,             0.55038,             0.49972,             0.55586,             0.29418,            0.037078,             0.17087,            0.037486,           0.0076983,           0.0076983,           0.0076983
                  95,            0.042207,            0.092313,             0.04091,             0.39389,             0.54091,             0.56227,             0.30287,            0.042162,             0.17413,            0.037237,           0.0076735,           0.0076735,           0.0076735
                  96,            0.042693,            0.089192,            0.040742,             0.61819,             0.42694,             0.57776,             0.31796,             0.03498,             0.17078,              0.0372,           0.0076488,           0.0076488,           0.0076488
                  97,            0.040697,            0.094905,            0.041258,             0.39643,             0.55758,             0.57467,             0.33661,            0.038893,             0.17258,            0.037088,            0.007624,            0.007624,            0.007624
                  98,            0.040818,            0.094549,            0.041625,             0.53606,             0.55758,             0.59227,             0.32016,            0.039496,             0.17203,             0.03693,           0.0075993,           0.0075993,           0.0075993
                  99,            0.045123,            0.089947,            0.040825,             0.55965,             0.54848,              0.5787,             0.31322,            0.038663,               0.174,            0.036756,           0.0075745,           0.0075745,           0.0075745
                 100,            0.042784,            0.091371,            0.040292,             0.52244,             0.54576,             0.59102,             0.27663,            0.047265,             0.18054,            0.036691,           0.0075498,           0.0075498,           0.0075498
                 101,            0.046569,            0.093398,            0.041568,             0.56876,             0.54952,             0.58563,             0.32775,            0.036049,             0.17247,            0.036623,            0.007525,            0.007525,            0.007525
                 102,            0.042331,            0.087727,            0.040433,              0.5905,             0.43165,             0.59224,             0.30921,            0.042961,             0.17551,            0.036443,           0.0075003,           0.0075003,           0.0075003
                 103,            0.043224,            0.089205,            0.039836,             0.61116,             0.43332,             0.59826,             0.32736,             0.03905,             0.17161,            0.036095,           0.0074755,           0.0074755,           0.0074755
                 104,            0.043935,            0.092361,             0.04064,             0.57602,             0.54348,             0.60339,             0.33619,            0.036478,             0.17187,            0.036097,           0.0074507,           0.0074507,           0.0074507
                 105,            0.040702,            0.090211,            0.039885,             0.65346,             0.42727,             0.56066,              0.2812,            0.043987,             0.17126,            0.035888,            0.007426,            0.007426,            0.007426
                 106,            0.044033,            0.086037,             0.03962,             0.74658,             0.40971,             0.59419,             0.34302,            0.035102,             0.16849,            0.035783,           0.0074013,           0.0074013,           0.0074013
                 107,            0.040301,            0.093903,            0.039936,             0.75443,             0.41614,             0.58869,             0.32406,            0.039981,             0.17485,            0.035746,           0.0073765,           0.0073765,           0.0073765
                 108,             0.04136,            0.092936,            0.039167,             0.39251,             0.66955,             0.58078,             0.31549,            0.038893,             0.17354,             0.03549,           0.0073517,           0.0073517,           0.0073517
                 109,            0.043463,            0.090627,            0.038606,             0.42329,             0.66883,             0.60816,             0.34522,            0.035021,              0.1722,            0.035474,            0.007327,            0.007327,            0.007327
                 110,            0.038697,            0.086402,            0.039243,             0.41984,             0.70539,             0.60386,             0.33698,            0.037785,             0.17104,             0.03522,           0.0073023,           0.0073023,           0.0073023
                 111,            0.043095,            0.091117,            0.039538,             0.44527,             0.65518,              0.6091,             0.33777,            0.036258,             0.17113,            0.035176,           0.0072775,           0.0072775,           0.0072775
                 112,            0.042947,            0.090506,            0.039201,              0.4126,             0.66859,             0.60995,             0.31256,            0.040841,             0.17389,             0.03499,           0.0072527,           0.0072527,           0.0072527
                 113,             0.04154,            0.089836,            0.038658,             0.45125,             0.67535,             0.61719,             0.36421,            0.034231,              0.1712,            0.034801,            0.007228,            0.007228,            0.007228
                 114,            0.043579,            0.088396,            0.037912,              0.8236,             0.42415,             0.63384,             0.33717,            0.040625,             0.17473,            0.034719,           0.0072033,           0.0072033,           0.0072033
                 115,            0.040636,            0.090028,            0.037674,             0.45186,              0.5849,             0.59772,             0.33227,            0.039759,             0.17916,            0.034737,           0.0071785,           0.0071785,           0.0071785
                 116,            0.042083,            0.093696,            0.037727,             0.80337,             0.42718,             0.62445,             0.35606,            0.035429,             0.17082,            0.034485,           0.0071538,           0.0071538,           0.0071538
                 117,            0.040039,            0.090373,            0.037096,              0.4743,             0.58897,             0.62843,             0.35754,             0.03882,             0.17633,             0.03427,            0.007129,            0.007129,            0.007129
                 118,             0.04175,            0.085845,            0.037368,             0.75342,             0.49286,             0.63427,             0.37442,            0.035772,             0.17339,            0.034097,           0.0071042,           0.0071042,           0.0071042
                 119,            0.042471,            0.091438,            0.037242,             0.49648,             0.57089,             0.64683,             0.35936,            0.037856,             0.17909,            0.033828,           0.0070795,           0.0070795,           0.0070795
                 120,            0.039904,            0.090632,            0.037722,             0.65072,             0.57111,              0.6648,             0.37364,            0.035991,             0.17723,            0.033751,           0.0070547,           0.0070547,           0.0070547
                 121,            0.039591,              0.0891,            0.036101,             0.52339,              0.6101,             0.66668,             0.38884,            0.034808,             0.17352,            0.033555,             0.00703,             0.00703,             0.00703
